timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1770458673686,14527,3.59,20480
1770458673737,66944,12.99,86016
1770458673787,117830,12.65,618496
1770458673837,167995,12.47,102400
1770458673887,220367,13.00,385024
1770458673938,270894,12.50,393216
1770458673999,334337,12.90,409600
1770458674050,385933,12.80,651264
1770458674100,396606,2.65,131072
1770458674151,396606,0.00,131072
1770458674227,396606,0.00,131072
1770458674279,404430,1.89,393216
1770458674330,457416,12.95,430080
1770458674381,508357,12.45,753664
1770458674432,559931,12.75,286720
1770458674483,611408,12.68,581632
1770458674535,666230,13.01,753664
1770458674592,674005,1.70,532480
