timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1770460933957,20011,4.45,274432
1770460934007,69632,12.21,888832
1770460934060,119162,11.72,692224
1770460934111,169330,12.46,729088
1770460934161,217520,11.96,864256
1770460934212,269372,12.74,630784
1770460934263,320016,12.47,761856
1770460934313,370030,12.47,798720
1770460934363,420085,12.44,954368
1770460934413,470268,12.47,1064960
1770460934464,521605,12.63,1441792
1770460934514,567377,11.37,1056768
1770460934568,567377,0.00,1052672
1770460934619,567377,0.00,1052672
1770460934670,567377,0.00,1052672
1770460934720,567692,0.08,1286144
1770460934772,620156,12.72,1568768
1770460934822,670172,12.43,1146880
1770460934873,720588,12.48,1744896
1770460934925,772868,12.56,2088960
1770460934975,822960,12.42,2637824
1770460935026,871764,12.10,1507328
1770460935077,923368,12.62,2109440
1770460935128,948545,6.14,1839104
1770460935181,948545,0.00,1839104
1770460935231,948545,0.00,1839104
1770460935296,948592,0.01,1650688
1770460935347,1000132,12.55,1990656
1770460935399,1051145,12.47,2314240
1770460935453,1107013,12.80,2347008
1770460935504,1157688,12.52,2502656
1770460935555,1210003,12.72,2015232
1770460935606,1260747,12.54,2191360
1770460935656,1312289,12.78,2318336
1770460935709,1365057,12.44,3117056
1770460935760,1413825,12.07,2670592
1770460935810,1435893,5.49,2506752
