timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1770457153107,27382,6.73,28672
1770457153158,77851,12.54,401408
1770457153208,127772,12.34,532480
1770457153267,185171,12.22,872448
1770457153321,239036,12.58,737280
1770457153371,288596,12.31,577536
1770457153421,339309,12.58,942080
1770457153471,389042,12.37,1073152
1770457153522,439468,12.54,1208320
1770457153573,470562,7.58,1081344
1770457153629,470562,0.00,1081344
1770457153680,470562,0.00,1081344
1770457153731,470562,0.00,1081344
1770457153784,495915,6.01,1314816
1770457153835,548067,12.64,1671168
1770457153886,597443,12.16,1716224
1770457153937,649903,12.77,1576960
1770457153988,699617,12.23,2105344
1770457154039,749206,12.24,1884160
1770457154089,788200,9.66,2437120
