timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1770460032602,45864,11.25,208896
1770460032653,99792,13.25,471040
1770460032703,154224,13.42,516096
1770460032754,206266,12.83,262144
1770460032816,271440,13.24,888832
1770460032873,329014,12.60,376832
1770460032923,382617,13.33,380928
1770460032975,437657,13.33,921600
1770460033026,492689,13.50,598016
1770460033076,546213,13.26,331776
1770460033131,604585,13.27,495616
1770460033182,657297,13.06,380928
1770460033237,718742,13.78,270336
1770460033289,774488,13.51,786432
1770460033339,829392,13.66,659456
1770460033394,838814,2.15,274432
1770460033444,838814,0.00,274432
1770460033500,838814,0.00,270336
1770460033551,838814,0.00,270336
1770460033601,883110,11.00,540672
1770460033652,936537,13.27,872448
1770460033715,1003053,13.02,1093632
1770460033766,1058686,13.73,745472
1770460033817,1114248,13.53,868352
1770460033868,1169003,13.46,450560
1770460033918,1222054,13.22,1089536
1770460033969,1272233,12.46,1286144
1770460034020,1329008,13.74,1245184
1770460034071,1382602,13.34,1183744
1770460034121,1387981,1.33,692224
