timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1770369198519,28645,6.98,274432
1770369198570,82447,13.18,1634304
1770369198621,132913,12.48,1150976
1770369198676,191008,13.05,1937408
1770369198727,244994,13.25,3043328
1770369198777,300001,13.68,4542464
1770369198829,356990,13.85,6316032
1770369198881,421921,15.56,6258688
1770369198931,472706,12.61,7323648
1770369198982,546830,18.43,7450624
1770369199032,596972,12.49,6946816
1770369199082,647961,12.63,7012352
1770369199133,715620,16.77,7811072
1770369199183,774251,14.56,8581120
1770369199234,840988,16.53,8429568
1770369199284,897788,14.06,9576448
1770369199334,975911,19.41,9302016
1770369199385,1029466,13.24,9609216
1770369199439,1111271,19.04,9768960
1770369199490,1162486,12.41,10379264
1770369199540,1215582,13.21,11587584
1770369199591,1291546,18.92,12271616
1770369199641,1359802,16.97,13172736
1770369199691,1433366,18.28,14213120
1770369199742,1519036,21.07,14413824
1770369199793,1576917,14.30,14774272
1770369199843,1629224,12.97,14766080
1770369199894,1682388,13.11,14835712
1770369199944,1734002,12.79,14368768
1770369199995,1812054,19.18,14581760
1770369200045,1899649,21.77,15011840
1770369200101,1956054,12.60,15167488
1770369200152,2006718,12.49,15544320
1770369200205,2059859,12.47,16052224
1770369200256,2129388,17.20,18882560
1770369200306,2222985,23.29,18223104
1770369200360,2277600,12.65,18563072
1770369200410,2327835,12.48,18944000
1770369200462,2379594,12.52,19140608
1770369200512,2475085,23.73,19451904
1770369200563,2548868,18.33,20295680
1770369200616,2645260,22.73,19574784
1770369200666,2715479,17.39,20107264
1770369200717,2816396,24.70,19943424
1770369200768,2886907,17.30,19996672
1770369200820,2984920,23.52,20271104
1770369200874,3065340,18.62,19812352
1770369200930,3151386,19.25,20377600
1770369200988,3264783,24.61,20017152
1770369201038,3361925,24.16,20774912
1770369201089,3413654,12.62,20807680
1770369201140,3465317,12.77,20713472
1770369201196,3524026,12.98,21409792
1770369201247,3619668,23.68,21344256
1770369201298,3675147,13.53,21237760
1770369201350,3727311,12.49,21495808
1770369201401,3780483,13.08,22482944
1770369201454,3857550,18.36,23154688
1770369201508,3962349,23.89,23703552
1770369201559,4018605,13.98,24244224
1770369201609,4070648,12.88,24412160
1770369201661,4140637,16.84,24666112
1770369201712,4212298,17.78,25387008
1770369201762,4269480,14.13,25280512
1770369201813,4322452,12.90,25640960
1770369201864,4357842,8.77,25681920
1770369201915,4357842,0.00,25661440
1770369201969,4357842,0.00,25661440
1770369202023,4387458,6.79,25952256
1770369202073,4439289,12.90,26238976
1770369202125,4491220,12.64,26255360
1770369202184,4581796,19.21,26308608
1770369202245,4644339,12.69,26132480
1770369202297,4698474,13.23,26251264
1770369202347,4748080,12.32,26255360
1770369202397,4799715,12.79,26267648
1770369202453,4856058,12.65,26042368
1770369202504,4905387,12.14,26259456
1770369202562,4934495,6.30,25993216
