timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1769384590824,22404,5.47,28672
1769384590875,78272,13.86,577536
1769384590926,136304,14.15,1150976
1769384590977,189055,12.93,1335296
1769384591027,253384,15.95,3461120
1769384591077,305890,13.05,4317184
1769384591128,368267,15.46,4931584
1769384591179,424987,13.99,5111808
1769384591230,476013,12.47,4886528
1769384591280,525946,12.35,5218304
1769384591331,606255,19.85,6524928
1769384591381,703171,23.98,6770688
1769384591432,770044,16.61,7503872
1769384591482,828425,14.50,6635520
1769384591533,884598,13.91,6807552
1769384591583,938312,13.29,6848512
1769384591634,1013880,18.72,6856704
1769384591684,1087649,18.12,7737344
1769384591735,1173943,21.27,8044544
1769384591786,1253779,19.72,9031680
1769384591836,1359489,26.06,9347072
1769384591887,1416068,14.04,9543680
1769384591938,1486664,17.34,10203136
1769384591988,1538732,12.86,11112448
1769384592039,1621473,20.53,11354112
1769384592089,1727524,26.19,11173888
1769384592140,1833458,26.29,11960320
1769384592190,1923278,22.29,11497472
1769384592242,2027091,24.99,11780096
1769384592293,2128796,25.01,12566528
1769384592344,2181796,13.00,13246464
1769384592394,2231827,12.38,13594624
1769384592445,2282836,12.63,14163968
1769384592495,2351808,17.06,17428480
1769384592546,2411220,14.76,17625088
1769384592596,2494129,20.59,17645568
1769384592646,2545464,12.72,17448960
1769384592698,2632788,21.30,17584128
1769384592749,2755944,30.10,17723392
1769384592799,2865391,27.09,17874944
1769384592850,2957888,22.97,18571264
1769384592900,3057341,24.54,18612224
1769384592951,3110779,13.13,18124800
1769384593002,3181714,17.54,18206720
1769384593052,3255964,18.42,18223104
1769384593103,3305985,12.41,18227200
1769384593153,3358157,12.95,18264064
1769384593203,3439380,20.11,19755008
1769384593254,3529280,22.21,19693568
1769384593305,3601960,17.92,20164608
1769384593355,3708321,26.36,19968000
1769384593406,3811395,25.56,20443136
1769384593456,3917965,26.45,20717568
1769384593506,4012491,23.46,19996672
1769384593557,4064837,12.93,20021248
1769384593607,4157005,22.81,20844544
1769384593658,4210719,13.28,20418560
1769384593709,4264407,13.09,20422656
1769384593760,4317947,13.21,20275200
1769384593811,4369290,12.60,20303872
1769384593861,4421595,12.93,20361216
1769384593912,4474579,13.10,20357120
1769384593962,4528914,13.48,20152320
1769384594013,4581775,13.11,20942848
1769384594063,4635112,13.23,20623360
1769384594114,4668105,8.11,21397504
