timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1770371693516,41054,10.13,344064
1770371693566,96896,13.86,823296
1770371693616,149370,13.03,1007616
1770371693667,203601,13.44,2371584
1770371693718,261127,13.97,3514368
1770371693769,315088,13.23,3801088
1770371693820,369993,13.61,6119424
1770371693871,424693,13.47,6475776
1770371693921,482502,14.28,7168000
1770371693972,549962,16.70,7081984
1770371694022,613356,15.74,7122944
1770371694072,663341,12.43,7462912
1770371694129,722164,13.07,8003584
1770371694181,782163,14.35,7593984
1770371694232,834436,12.84,7852032
1770371694282,885410,12.62,7892992
1770371694333,938369,13.08,7864320
1770371694383,1018563,19.98,9138176
1770371694433,1140643,30.20,9592832
1770371694485,1195032,13.12,9531392
1770371694536,1249843,13.61,9568256
1770371694586,1347280,24.09,10104832
1770371694637,1436778,22.15,10702848
1770371694687,1510757,18.37,10514432
1770371694737,1590862,19.85,11685888
1770371694788,1644088,13.16,11927552
1770371694839,1705789,15.18,12365824
1770371694890,1764804,14.38,12148736
1770371694944,1821228,13.06,12455936
1770371694995,1870837,12.24,12820480
1770371695045,1970070,24.64,13148160
1770371695096,2071079,24.81,13008896
1770371695147,2150058,19.51,13684736
1770371695198,2201525,12.42,13750272
1770371695251,2254032,12.55,14077952
1770371695301,2330219,18.84,13950976
1770371695352,2417127,21.33,15147008
1770371695402,2538995,30.24,15364096
1770371695453,2629964,22.49,15470592
1770371695503,2737210,26.66,16269312
1770371695554,2837221,24.81,16629760
1770371695606,2946778,26.31,16863232
1770371695657,3033465,21.26,17502208
1770371695708,3141643,26.50,17174528
1770371695759,3226691,20.69,17494016
1770371695810,3276895,12.45,17989632
1770371695861,3381667,25.52,18890752
1770371695911,3478779,24.06,19169280
1770371695963,3584880,25.74,19337216
1770371696014,3659591,18.23,19955712
1770371696065,3745979,21.36,20119552
1770371696116,3871177,30.78,20877312
1770371696166,4022097,37.43,21266432
1770371696217,4100744,19.15,21504000
1770371696268,4211918,27.29,23728128
1770371696319,4326393,28.39,22560768
1770371696370,4383573,13.89,22593536
1770371696421,4450588,16.38,22388736
1770371696473,4556828,25.75,22650880
1770371696523,4663241,26.36,22441984
1770371696574,4753981,22.29,22949888
1770371696625,4826108,17.70,22667264
1770371696676,4884375,14.22,22822912
1770371696727,4958500,18.34,22994944
1770371696777,5067652,27.14,23789568
1770371696827,5123782,13.93,24535040
1770371696878,5216174,22.68,24510464
1770371696930,5279164,15.18,24813568
1770371696982,5333303,13.12,24612864
1770371697032,5387238,13.28,24641536
1770371697083,5438262,12.70,25382912
1770371697135,5495483,13.61,24768512
1770371697188,5547256,12.32,24915968
1770371697238,5601913,13.53,24936448
1770371697289,5656048,13.40,24952832
1770371697339,5705944,12.39,24952832
1770371697396,5766347,13.25,24711168
1770371697450,5821190,12.74,24711168
1770371697500,5882283,15.15,24768512
1770371697552,5936685,13.23,24793088
1770371697607,5963183,6.03,24510464
1770371697659,5963183,0.00,24481792
1770371697710,5963183,0.00,24481792
1770371697761,5963183,0.00,24465408
1770371697812,5988842,6.38,24735744
1770371697862,6044660,13.82,24715264
1770371697913,6097943,13.10,25022464
1770371697964,6149990,12.86,25276416
1770371698014,6202002,12.94,24784896
1770371698064,6254545,13.06,25358336
1770371698115,6314262,14.74,24915968
1770371698166,6367135,12.97,25153536
1770371698216,6419084,12.87,25415680
1770371698267,6470255,12.56,25272320
1770371698318,6523522,13.19,25018368
1770371698369,6575342,12.58,25030656
1770371698421,6627803,12.58,25309184
1770371698471,6678097,12.52,24821760
1770371698522,6680965,0.71,25042944
1770371698574,6712369,7.50,25305088
1770371698625,6763302,12.56,25083904
1770371698675,6814826,12.77,24842240
1770371698726,6818537,0.91,25128960
