timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1769361872938,22229,5.51,282624
1769361872990,83149,14.62,1110016
1769361873041,137234,13.31,1806336
1769361873091,191072,13.28,2027520
1769361873142,241846,12.61,2351104
1769361873192,299788,14.36,5083136
1769361873242,357759,14.40,5283840
1769361873293,410705,13.13,6569984
1769361873343,468430,14.30,6266880
1769361873394,518430,12.41,6012928
1769361873444,569431,12.64,6152192
1769361873495,644686,18.61,7340032
1769361873545,706180,15.19,6938624
1769361873596,756354,12.37,6901760
1769361873646,807356,12.67,6967296
1769361873697,861988,13.50,7507968
1769361873747,959849,24.23,8630272
1769361873798,1043954,20.79,9240576
1769361873848,1098580,13.55,10432512
1769361873899,1155200,13.96,10489856
1769361873949,1209415,13.45,10784768
1769361874000,1306461,24.03,10211328
1769361874051,1387770,19.91,11243520
1769361874102,1476916,21.93,11071488
1769361874152,1532711,13.87,11497472
1769361874203,1583620,12.48,12005376
1769361874253,1632217,12.09,12111872
1769361874304,1713051,19.78,12615680
1769361874355,1789770,19.04,12754944
1769361874405,1901761,27.57,14045184
1769361874456,2002112,24.89,14450688
1769361874507,2101934,24.53,14598144
1769361874557,2203821,25.28,14692352
1769361874608,2303748,24.72,14950400
1769361874658,2362988,14.66,14905344
1769361874708,2426908,15.86,15654912
1769361874759,2489412,15.53,15593472
1769361874809,2547051,14.25,15982592
1769361874860,2620252,18.13,16969728
1769361874910,2686273,16.37,16605184
1769361874961,2740539,13.41,16916480
1769361875012,2834427,23.07,17412096
1769361875062,2938407,25.81,17977344
1769361875113,3021284,20.38,18481152
1769361875163,3080617,14.70,17895424
1769361875214,3170914,22.24,18432000
1769361875264,3255686,21.03,18395136
1769361875315,3326714,17.65,18534400
1769361875365,3431094,25.82,18595840
1769361875416,3521024,22.32,19337216
1769361875467,3573497,12.88,19148800
1769361875517,3624493,12.61,18911232
1769361875567,3674424,12.38,18935808
1769361875618,3752254,19.34,20045824
1769361875668,3872300,29.78,20406272
1769361875718,3947346,18.66,20226048
1769361875769,4048640,25.19,20832256
1769361875819,4105728,14.17,21176320
1769361875869,4155689,12.39,21417984
1769361875921,4210285,13.35,21659648
1769361875971,4285001,18.59,22708224
1769361876021,4341812,14.09,23044096
1769361876072,4396524,13.46,23318528
1769361876122,4448801,13.01,23478272
1769361876173,4500208,12.66,23511040
1769361876224,4551919,12.75,23015424
1769361876275,4555917,0.98,23035904
1769361876326,4583666,6.80,23035904
1769361876376,4641168,14.25,23298048
1769361876426,4691848,12.57,22933504
1769361876477,4745212,13.26,22913024
1769361876527,4798911,13.27,23191552
1769361876578,4851600,13.03,23273472
1769361876628,4904043,12.99,23326720
1769361876679,4958580,13.51,23486464
1769361876729,5006535,11.91,24530944
