timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1770368936261,1499,0.28,532480
1770368936312,52288,12.44,335872
1770368936363,106266,13.28,1150976
1770368936414,158756,12.79,1761280
1770368936464,210459,12.86,2551808
1770368936518,267986,13.39,3747840
1770368936569,326878,14.65,6533120
1770368936620,381236,13.17,6463488
1770368936670,433517,12.98,6791168
1770368936721,493981,14.94,7520256
1770368936771,557931,15.87,7610368
1770368936822,609128,12.71,7630848
1770368936873,661163,12.64,7655424
1770368936924,714185,12.92,8552448
1770368936976,768055,13.16,8384512
1770368937026,823953,13.77,7876608
1770368937077,873755,12.36,8110080
1770368937128,924870,12.57,8126464
1770368937178,977467,13.02,8462336
1770368937229,1030404,13.08,8880128
1770368937279,1112751,20.43,10055680
1770368937329,1192076,19.71,11091968
1770368937388,1259108,14.40,11120640
1770368937438,1334154,18.65,12476416
1770368937490,1401378,16.06,11812864
1770368937542,1455583,13.05,12005376
1770368937593,1525894,17.22,12984320
1770368937643,1642090,28.90,13414400
1770368937696,1768963,30.07,13242368
1770368937747,1838524,17.02,13819904
1770368937797,1952345,28.31,14200832
1770368937855,2068170,25.07,14405632
1770368937906,2141901,18.13,15060992
1770368937961,2197018,12.46,15187968
1770368938014,2250040,12.55,15069184
1770368938066,2310524,14.66,16224256
1770368938116,2384970,18.45,17453056
1770368938167,2487818,25.52,16777216
1770368938219,2566276,18.85,16789504
1770368938269,2616903,12.51,16523264
1770368938321,2673058,13.62,17211392
1770368938371,2746529,18.19,17104896
1770368938422,2849182,25.40,17539072
1770368938475,2954030,24.46,17768448
1770368938526,3052016,24.32,18456576
1770368938576,3117897,16.30,19333120
1770368938629,3184527,15.86,19460096
1770368938698,3254884,12.65,18923520
1770368938750,3309605,13.27,19496960
1770368938803,3363222,12.66,19800064
1770368938853,3413917,12.60,20344832
1770368938903,3465417,12.82,20148224
1770368938958,3521655,12.70,20307968
1770368939009,3577378,13.65,21188608
1770368939064,3673274,21.86,21295104
1770368939115,3731538,14.47,21155840
1770368939165,3781519,12.41,21344256
1770368939215,3832541,12.70,21491712
1770368939265,3887825,13.77,22765568
1770368939316,3972448,20.85,23121920
1770368939366,4027024,13.56,23310336
1770368939417,4077468,12.48,23326720
1770368939468,4128955,12.72,23465984
1770368939518,4181642,13.08,24424448
1770368939571,4240320,13.94,23543808
1770368939622,4293853,13.08,23621632
1770368939673,4345963,12.74,23810048
1770368939724,4398235,12.83,23846912
1770368939780,4460360,13.87,24133632
1770368939837,4518558,12.72,24395776
1770368939887,4569108,12.57,24489984
1770368939938,4619169,12.32,24256512
1770368939990,4693641,17.81,24064000
1770368940041,4747323,13.16,24059904
1770368940094,4827017,18.99,24358912
1770368940145,4879646,12.83,24510464
1770368940196,4960317,19.83,25001984
1770368940247,5018518,14.36,24748032
1770368940302,5074387,12.60,24784896
1770368940353,5124704,12.25,24793088
1770368940404,5176451,12.66,24825856
1770368940456,5198102,5.21,24580096
